"","gbifID","order","family","genus","species","scientificName","countryCode","stateProvince","latitude","longitude","elevation","year","collectionCode","catalogNumber","latLong"
"1",1.20211038229193e-314,"Araneae","Philodromidae","Philodromus","","Philodromus Walckenaer, 1826","US","New Mexico",33.269,-107.621,NA,2019,"Arth","68882","33.269, -107.621"
"2",1.20210988822629e-314,"Araneae","Lycosidae","Pardosa","Pardosa sierra","Pardosa sierra Banks, 1898","US","New Mexico",33.269,-107.621,NA,2019,"Arth","68878","33.269, -107.621"
"3",1.20210939465471e-314,"Araneae","Araneidae","Metepeira","","Metepeira Cambridge, 1903","US","New Mexico",33.269,-107.621,NA,2019,"Arth","68884","33.269, -107.621"
"4",1.20210939416064e-314,"Araneae","Sparassidae","Olios","Olios giganteus","Olios giganteus Keyserling, 1884","US","New Mexico",33.269,-107.621,NA,2019,"Arth","68881","33.269, -107.621"
"5",1.202108900095e-314,"Araneae","Lycosidae","Geolycosa","","Geolycosa Montgomery, 1904","US","New Mexico",33.269,-107.621,NA,2019,"Arth","68877","33.269, -107.621"
"6",1.20210840602935e-314,"Araneae","Anyphaenidae","Anyphaena","Anyphaena pacifica","Anyphaena pacifica (Banks, 1896)","US","New Mexico",33.269,-107.621,NA,2019,"Arth","68885","33.269, -107.621"
"7",896327505,"Passeriformes","Turdidae","Hylocichla","Hylocichla mustelina","Hylocichla mustelina (Gmelin, 1789)","US","New Mexico",34.111867,-103.5296,1258,2010,"Bird","MSB:Bird:29857","34.111867, -103.5296"
"8",896330198,"Passeriformes","Corvidae","Cyanocitta","Cyanocitta stelleri","Cyanocitta stelleri (Gmelin, 1788)","US","New Mexico",31.505971,-108.709803,NA,1970,"Bird","MSB:Bird:3712","31.505971, -108.709803"
"9",1145123343,"Passeriformes","Turdidae","Catharus","Catharus guttatus","Catharus guttatus (Pallas, 1811)","US","New Mexico",36.599517,-108.306433,1715,2013,"Bird","MSB:Bird:41007","36.599517, -108.306433"
"10",2854755301,"Passeriformes","Emberizidae","Melospiza","Melospiza melodia","Melospiza melodia (A.Wilson, 1810)","US","New Mexico",35.08449,-106.651134,NA,2018,"Bird","MSB:Bird:60783","35.08449, -106.651134"
"11",1455541968,"Passeriformes","Tyrannidae","Tyrannus","Tyrannus verticalis","Tyrannus verticalis Say, 1823","US","New Mexico",34.11186,-103.529842,1258,2016,"Bird","MSB:Bird:45421","34.11186, -103.529842"
"12",896338586,"Passeriformes","Turdidae","Catharus","Catharus guttatus","Catharus guttatus (Pallas, 1811)","US","New Mexico",36.742186,-108.344765,NA,1992,"Bird","MSB:Bird:9924","36.742186, -108.344765"
"13",1820428168,"Cypriniformes","Cyprinidae","Chrosomus","Chrosomus erythrogaster","Chrosomus erythrogaster (Rafinesque, 1820)","US","New Mexico",36.278019,-105.261345,NA,1954,"Fish","MSB:Fish:1614","36.278019, -105.261345"
"14",1820496394,"Cypriniformes","Cyprinidae","Rhinichthys","Rhinichthys cataractae","Rhinichthys cataractae (Valenciennes, 1842)","US","New Mexico",35.322164,-106.557448,NA,1990,"Fish","MSB:Fish:7825","35.322164, -106.557448"
"15",1820511578,"Cypriniformes","Cyprinidae","Rhinichthys","Rhinichthys osculus","Rhinichthys osculus (Girard, 1856)","US","New Mexico",36.883251,-108.833549,NA,2000,"Fish","MSB:Fish:92434","36.883251, -108.833549"
"16",1820442769,"Cypriniformes","Cyprinidae","Pimephales","Pimephales promelas","Pimephales promelas Rafinesque, 1820","US","New Mexico",35.683508,-106.740787,NA,1960,"Fish","MSB:Fish:2935","35.683508, -106.740787"
"17",1820474542,"Cypriniformes","Cyprinidae","Hybognathus","Hybognathus amarus","Hybognathus amarus (Girard, 1856)","US","New Mexico",34.067917,-106.874528,NA,1986,"Fish","MSB:Fish:5794","34.067917, -106.874528"
"18",1820482588,"Cyprinodontiformes","Fundulidae","Fundulus","Fundulus zebrinus","Fundulus zebrinus Jordan & Gilbert, 1883","US","New Mexico",36.893934,-108.907964,NA,1989,"Fish","MSB:Fish:6548","36.893934, -108.907964"
"19",1842916294,"Fabales","Fabaceae","Vachellia","Vachellia constricta","Acacia constricta Benth.","US","New Mexico",31.603341,-108.667856,1828,1990,"Herb","UNM0039977","31.603341, -108.667856"
"20",1842916355,"Sapindales","Sapindaceae","Acer","Acer negundo","Acer negundo L.","US","New Mexico",32.930925,-108.981817,1752,1993,"Herb","UNM0000350","32.930925, -108.981817"
"21",1842916379,"Asterales","Asteraceae","Achillea","Achillea millefolium","Achillea millefolium var. alpicola (Rydb.) Garrett","US","New Mexico",35.202254,-107.515002,NA,1960,"Herb","UNM0006909","35.202254, -107.515002"
"22",1842916382,"Asterales","Asteraceae","Achillea","Achillea millefolium","Achillea millefolium var. occidentalis DC.","US","New Mexico",34.739748,-106.40208,2529,1963,"Herb","UNM0006959","34.739748, -106.40208"
"23",1842916353,"Asterales","Asteraceae","Achillea","Achillea millefolium","Achillea millefolium var. occidentalis DC.","US","New Mexico",35.213388,-108.144057,2377,1968,"Herb","UNM0006859","35.213388, -108.144057"
"24",1842916364,"Asterales","Asteraceae","Achillea","Achillea millefolium","Achillea millefolium var. occidentalis DC.","US","New Mexico",35.213775,-106.407671,NA,1930,"Herb","UNM0006821","35.213775, -106.407671"
"25",2804125301,"Caudata","Plethodontidae","Aneides","Aneides hardii","Aneides hardii (Taylor, 1941)","US","New Mexico",33.605487,-105.364072,NA,2016,"Herp","MSB:Herp:100535","33.6054869991298, -105.364072"
"26",2423878470,"Squamata","Phrynosomatidae","Sceloporus","Sceloporus cowlesi","Sceloporus cowlesi Lowe & Norris, 1956","US","New Mexico",31.9367,-108.94825,NA,1988,"Herp","MSB:Herp:51156","31.9367, -108.94825"
"27",2423876362,"Squamata","Phrynosomatidae","Sceloporus","Sceloporus cowlesi","Sceloporus cowlesi Lowe & Norris, 1956","US","New Mexico",36.36793,-104.93098,NA,1963,"Herp","MSB:Herp:18917","36.36793, -104.93098"
"28",2460600097,"Squamata","Colubridae","Thamnophis","Thamnophis cyrtopsis","Thamnophis cyrtopsis (Kennicott, 1860)","US","New Mexico",33.1736,-108.65166,NA,1949,"Herp","MSB:Herp:6026","33.1735999991354, -108.65166"
"29",2423874747,"Squamata","Phrynosomatidae","Sceloporus","Sceloporus undulatus","Sceloporus undulatus (Bosc & Daudin, 1801)","US","New Mexico",36.53489,-105.70922,NA,1965,"Herp","MSB:Herp:13599","36.53489, -105.70922"
"30",2446753139,"Squamata","Phrynosomatidae","Urosaurus","Urosaurus ornatus","Urosaurus ornatus (Baird & Girard, 1852)","US","New Mexico",33.79066,-107.48823,2630,2007,"Herp","MSB:Herp:73243","33.79066, -107.48823"
"31",1145125597,"Anseriformes","Anatidae","Anas","Anas clypeata","Anas clypeata Linnaeus, 1758","US","New Mexico",33.7131,-106.9579,NA,2004,"Host","MSB:Host:20873","33.7131, -106.9579"
"32",1288187824,"","Physidae","Physa","","Physa Draparnaud, 1801","US","New Mexico",35.130822,-106.681888,NA,2016,"Host","MSB:Host:21598","35.130822, -106.681888"
"33",1500068495,"","Physidae","Physella","Physella acuta","Physa acuta Draparnaud, 1805","US","New Mexico",33.804,-107,NA,2012,"Host","MSB:Host:21814","33.804, -107"
